user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,116,28,11,<NA>,<NA>,<NA>
Algorithm,Comet,10,155,22,20,<NA>,<NA>,<NA>
And1,Dancer,0,11,0,0,0,0,0
BABYMOMMA,Dasher,10,208,23,42,<NA>,<NA>,<NA>
BORG,Dasher,0,32,8,3,3,5,0
Backstreet,Rudolph,0,59,12,6,<NA>,<NA>,<NA>
Bambino,Comet,0,47,6,3,3,5,<NA>
Bedpan,Donner,10,296,34,46,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,230,28,29,<NA>,<NA>,<NA>
Bob Villa,Comet,10,385,50,72,<NA>,<NA>,<NA>
BoilerUp,Rudolph,10,47,7,13,<NA>,<NA>,<NA>
Boomer,Prancer,20,386,40,72,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,20,4,3,<NA>,<NA>,<NA>
Broomstick,Vixen,10,159,20,52,<NA>,<NA>,<NA>
Bunker,Cupid,0,112,16,32,<NA>,<NA>,<NA>
Caboose,Cupid,0,139,19,0,<NA>,<NA>,<NA>
Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,217,33,21,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,107,19,5,<NA>,<NA>,<NA>
Chernobyl,Cupid,0,12,2,3,3,0,0
Choco Taco,Comet,10,148,11,45,3,5,<NA>
Chum Bucket,Donner,20,365,38,60,<NA>,<NA>,<NA>
Cinderella,Dancer,20,267,32,46,<NA>,<NA>,<NA>
Circuit City,Prancer,0,38,11,2,3,5,0
Corner Kick,Donner,0,129,18,29,<NA>,<NA>,<NA>
Cowbell,Rudolph,0,59,12,0,<NA>,<NA>,<NA>
Crotch Rocket,Dancer,10,16,2,0,3,0,0
Cutler,Dancer,20,363,38,94,<NA>,<NA>,<NA>
DEADBOLT,Dancer,0,3,1,0,3,0,0
DJ Sump Pump,Comet,10,237,40,10,<NA>,<NA>,<NA>
Dan-D-LION,Rudolph,0,6,2,0,3,0,<NA>
Danica,Comet,0,114,23,0,3,5,<NA>
Dauber,Comet,20,600,83,96,<NA>,<NA>,<NA>
Dear Abby,Dancer,0,185,25,39,<NA>,<NA>,<NA>
Deliverance,Prancer,0,98,19,0,<NA>,<NA>,<NA>
Den Mother,Vixen,0,75,11,3,<NA>,<NA>,<NA>
Depends (3rdF Q),Prancer,20,410,46,81,<NA>,<NA>,<NA>
Derailed,Blitzen,0,85,12,33,<NA>,<NA>,<NA>
Dilbert,Prancer,0,284,28,66,<NA>,<NA>,<NA>
Dilly Dilly,Vixen,0,202,30,48,<NA>,<NA>,<NA>
Dog House,Dasher,20,602,86,93,<NA>,<NA>,<NA>
Doozie,Dasher,20,310,35,62,<NA>,<NA>,<NA>
Double dipper,Cupid,0,14,2,0,3,0,0
Dr. Loco,Rudolph,0,6,2,0,3,0,0
Drive By,Dasher,0,51,8,3,<NA>,<NA>,<NA>
Duck Hunt,Cupid,10,233,31,57,<NA>,<NA>,<NA>
Dungeon Master,Prancer,0,3,1,0,3,0,0
