user_id,user_name,first_date,first_week,post_count
U0171K8109F,F3CrossroadsIL,2025-09-15,1.0,12
U017CRXMBA4,Pi 3.14 (F3 North Katy),2025-09-26,2.0,1
U017G12529J,Carmen San Diego (F3 Naperville),2025-07-18,,0
U017LMBBP1S,Fargo (Naperville),2025-09-25,2.0,1
U0186PNUG3T,Hackman,2025-09-15,1.0,11
U01B8FL6TFX,Senor Frog,2025-09-23,2.0,1
U01B8FLBHKP,Nickelback,2025-09-24,2.0,1
U02UVGKDJA2,O'Douls,2025-09-17,1.0,1
U03DP9WRXJN,Backstreet,2025-09-15,1.0,3
U03U8N4P5G8,Flo,2025-07-13,1.0,14
U047GFQH4HL,Bronco,2025-07-21,2.0,2
U04QDH8EFGB,Candy Man,2025-10-06,4.0,4
U058C88BUDD,T-Dubs (Outlands),2025-09-27,2.0,1
U05V7JWTY67,Schrute,2025-10-05,4.0,1
U06AWCQ0E9Z,slackblast,2025-09-19,1.0,2
U06K8PKQGA1,Duck Hunt,2025-09-13,0.0,20
U073J179LHM,Sizzler,2025-09-15,1.0,8
U078VQE2ULB,Wing Stop (F3 Naperville),2025-10-14,5.0,1
U07DTG7DY07,Dr. Feelgood,2025-07-13,2.0,0
U07EJ6173S6,Ginga,2025-09-16,1.0,5
U07GDNBSZ0Q,Speedbag (F3 Southsid3),2025-09-25,2.0,2
U07K1BV0UUX,Pink Panther,2025-10-03,3.0,1
U085PLQU2F4,Shankapotomus,2025-09-18,1.0,4
U087CHQLZ7B,Scratch and Dent,2025-09-15,1.0,16
U089QSWGZ7Z,Wet Bandit,2025-10-03,3.0,3
U08EEQUUKSN,Elsa,2025-10-01,3.0,1
U08QBC4F5C3,Fish Tape,2025-09-15,1.0,12
U08RFHRKC5P,Alter boy,2025-07-13,,0
U08SN6DGDME,Boolean (F3 Naperville),2025-10-03,3.0,1
U08TD9DD6M6,Scuba Steve,2025-09-13,0.0,17
U08TYPXLCC8,Sloppy Joe,2025-10-02,3.0,1
U08U4PQV3DJ,Phoenix,2025-09-15,1.0,2
U090GAA7QE6,Laces Out,2025-09-20,1.0,3
U092LRKGN2E,Pearl,2025-09-13,0.0,11
U094XL0JTK3,Lot lizard,2025-09-27,2.0,2
U095K6T98P9,Intern,2025-09-17,1.0,4
U095MNVG2R5,Kidney Beans,2025-09-15,1.0,10
U097B8S352S,Ferkus,2025-09-16,1.0,1
U098XEDSKJN,Liberty Biberty,2025-09-16,1.0,4
U0995LDSXNC,Party in a bottle,2025-09-13,0.0,19
U09AH747KEF,Italian Ice,2025-09-13,0.0,14
U09BBJ81140,Slapshot,2025-09-20,1.0,6
U09BKTKC15Y,Pretzel,2025-09-13,0.0,14
U09CJQ6NV6Y,Spud,2025-09-27,2.0,1
U09D5VDKC85,Otto Man,2025-09-16,1.0,11
U09DMPT2RQC,No Pants,2025-09-18,1.0,1
U09EZ6NN6HH,Thesaurus,2025-09-13,0.0,4
U09JUFJTXD3,Grinch,2025-10-06,4.0,1
U09KYM9V279,Unknown Name,2025-10-14,5.0,1
