user_name,Team,HS,Total_Points,Post_count,ec,FNG1,FNG5,FNG_VQ
5-Putt,Vixen,0,88,19,11,<NA>,<NA>,<NA>
Algorithm,Comet,10,149,20,20,<NA>,<NA>,<NA>
BABYMOMMA,Dasher,10,190,22,39,<NA>,<NA>,<NA>
BORG,Dasher,0,32,8,3,3,5,0
Backstreet,Rudolph,0,32,7,6,<NA>,<NA>,<NA>
Bambino,Comet,0,47,6,3,3,5,<NA>
Bedpan,Donner,0,189,21,33,<NA>,<NA>,<NA>
Blue Gill,Vixen,0,203,25,27,<NA>,<NA>,<NA>
Bob Villa,Comet,0,283,39,60,<NA>,<NA>,<NA>
BoilerUp,Rudolph,10,33,4,8,<NA>,<NA>,<NA>
Boomer,Prancer,20,271,29,53,<NA>,<NA>,<NA>
Boston Butt,Dancer,0,17,3,3,<NA>,<NA>,<NA>
Broomstick,Vixen,10,130,16,40,<NA>,<NA>,<NA>
Bunker,Cupid,0,87,12,29,<NA>,<NA>,<NA>
Caboose,Cupid,0,112,16,0,<NA>,<NA>,<NA>
Candy Man,Cupid,0,40,10,2,<NA>,<NA>,<NA>
Celine Dion,Rudolph,0,130,22,6,<NA>,<NA>,<NA>
Celler Dweller,Donner,0,95,15,5,<NA>,<NA>,<NA>
Chernobyl,Cupid,0,12,2,3,3,0,0
Choco Taco,Comet,10,111,8,33,3,5,<NA>
Chum Bucket,Donner,20,269,27,41,<NA>,<NA>,<NA>
Cinderella,Dancer,20,209,23,40,<NA>,<NA>,<NA>
Circuit City,Prancer,0,26,7,2,3,5,0
